category,name,definition
Ancestries,Gnome,"Gnomes are small, typically with bright eyes and animated expressions that reflect their curious nature. Their colorful hair and eccentric clothing often hint at their inventive or magical inclinations. Gnomes have a reputation for creativity, humor, and discovery."
Gnome,Gnome Traits,"Your gnome character has certain characteristics in common with all other gnomes.

**Age.** Gnomes mature at the same rate humans do, and most are expected to settle down into an adult life by around age 40. They can live 350 to almost 500 years.

**Size.** Gnomes are between 3 and 4 feet tall and average about 40 pounds. Your size is Small.

**Speed.** Your base walking speed is 25 feet.

**Darkvision.** You have darkvision to 60 feet.

**Gnome Cunning.** You have advantage on all Intelligence, Wisdom, and Charisma saving throws against magic."
Ancestries,Mixed Ancestry,
Mixed Ancestry,Mixed Traits,"Your parents descend from different ancestries from each other, and you have inherited a blend of traits from them.

**Age.** You age and mature at roughly the average rate of your parents.

**Size.** Your height and weight is approximately the average of your parents’. Your size is Medium unless both parents are a different size.

**Speed.** Your base walking speed is the average of your parents’ speeds, rounded up to the nearest 5 feet.

**Ancestral Traits.** You inherit one major and one minor physical ability from your parents.

    ●  	**Major:** Breath Weapon, Damage Resistance, Dwarven Resilience, Gnome Cunning, Hellish Resistance, Infernal Legacy, It Takes a Village, Lucky

    ●  	**Minor:** Brave, Darkvision, Fey Ancestry, Halfling Nimbleness, Heavy Lifter, Intrepid, Mighty Attacks, Trance"
Ancestries,Orc,"Orcs are tall and powerfully built, with greenish, gray, or brown skin, and prominent tusks. While often misunderstood, orcs are deeply loyal and value strength, community, and perseverance. Their cultures are as varied as their environments, ranging from nomadic hunters to urban warriors."
Orc,Orc Traits,"Characters with orc heritage share the following traits:

**Age.** Orcs reach adulthood around age 14. They usually live to be 60–75 years old.

**Size.** Orcs are powerfully built, standing 6-7 feet tall, averaging 250–300 pounds. Your size is Medium.

**Speed.** 30 feet

**Darkvision.** You have darkvision to 60 feet.

**Heavy Lifter.** When determining your carrying capacity and the weight that you can push, drag, or lift, your size is considered to be Large.

**Mighty Attacks.** When you critically hit with a melee weapon attack, roll one of the weapon's damage dice again and add the result to the attack's damage."
Ancestries,Tiefling,"Tieflings are humanoids marked by fiendish ancestry, often with horns, tails, and skin tones ranging from human-like hues to deep reds, blues, or purples. Their feet may be cloven hooves or humanlike with clawed toenails."
Tiefling,Tiefling Traits,"Tieflings share certain inherited traits as a result of their infernal descent.

**Age.** Tieflings mature at the same rate as humans but live a few years longer.

**Size.** Tieflings are about the same size and build as humans. Your size is Medium.

**Speed.** Your base walking speed is 30 feet.

**Darkvision.** You have darkvision to 60 feet.

**Hellish Resistance.** You have resistance to fire damage.

**Infernal Legacy.** You know the Thaumaturgy cantrip. When you reach 3rd level, you can cast the Hellish Rebuke spell as a 2nd-level spell once with this trait and regain the ability to do so when you finish a long rest. When you reach 5th level, you can cast the Darkness spell once with this trait and regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
Creating a Character,Cultures,"Choose a culture for your character. While some cultures are closely associated with a specific ancestry, depending on your character’s past, you may choose any culture for them. Each culture has unique traits. You gain all traits associated with your chosen culture, unless otherwise stated. Characters raised in a culture share common traits."
Cultures,Cosmopolitan,"Urban dwellers from this culture value adaptability, social connections, and quick thinking. They thrive in diverse environments, seamlessly navigating social circles and leveraging their resourcefulness.

**Discreetly Armed.** You gain expertise on checks made to persuade others to let you remain armed or to conceal weapons or items about your person.

**Fashion Sense.** After you spend at least 1 minute observing a creature within 60 feet, you can use an action to make either an Insight or History check against a DC equal to the creature’s passive Deception check score. On a success, you learn the following information about that creature:

            •  		Whether the creature has a lower Charisma score than yourself.

            •  		The creature’s culture and national origin (if any).

            •  		The creature’s social standing in the local majority culture.

**Skill Versatility.** You gain proficiency in Persuasion and one other skill of your choice.

**Urban Denizen.** You can make an Investigation check to learn a person’s location (or gain a helpful clue) by discreetly asking in the right places. The difficulty is DC 15 if they’re not hiding, or DC 20 if they’re trying to conceal it.

**Well-Connected.** You gain an extra connection, selected from a background of your choice. This person is of a different heritage or national origin than yourself.

**Languages.** You can speak, read, write, and sign in Common and two additional languages."
Cultures,Deep Dwarf,"Shaped by life in the depths, individuals of this culture value resilience, vigilance, and mastery of the subterranean world. Trust is earned carefully, but loyalty is unshakable.

**Superior Darkvision.** You have darkvision to 60 feet, or the range of your existing darkvision increases by 60 feet.

**Deep Magic.** You know the Resistance cantrip. Once you reach 3rd level, you can cast Jump once per rest. At 5th level, you can cast Enlarge/Reduce once per rest. You don’t need material components for these spells, but you can’t cast them while you’re in direct sunlight (although sunlight has no effect on them once cast). Intelligence is your spellcasting ability for these spells.

**Deep Suspicion.** You gain advantage on Wisdom saving throws against illusions and against being charmed or paralyzed.

**Underground Combat Training.** You are proficient with hand crossbows, short swords, and war picks.

**Languages.** You can speak, read, write, and sign Common, Dwarvish, and Undercommon."
